,Date,Open,High,Low,Close,Adj Close,Volume
0,12/1/2020,1940.349976,1966.25,1930.050049,1954.900024,1948.63147,9114939
1,12/2/2020,1958.5,1962,1935,1958.150024,1951.870972,10240168
2,12/3/2020,1972,1981.099976,1958.650024,1964.050049,1957.752075,12822945
3,12/4/2020,1969,1969,1940,1946.75,1940.507568,8521388
4,12/7/2020,1940.599976,1965,1940.599976,1958.199951,1951.920776,8418767
5,12/8/2020,1961.150024,2014.25,1950,1993.75,1987.356812,20030506
6,12/9/2020,2009.949951,2033.800049,1999.25,2026.949951,2020.450317,13464375
7,12/10/2020,2021.599976,2028.5,2001,2007,2000.564331,7414229
8,12/11/2020,2013,2038,1974.25,2005.800049,1999.368286,12434745
9,12/14/2020,2007.949951,2015,1986.349976,1991.300049,1984.914673,7989830
10,12/15/2020,1989.699951,1989.699951,1961.099976,1974.349976,1968.019043,8561406
11,12/16/2020,1988,1994.949951,1965.699951,1976.550049,1970.212036,8565904
12,12/17/2020,1984.5,2005,1977.150024,1985.599976,1979.23291,9346460
13,12/18/2020,1980.099976,2004.900024,1965,1991.550049,1985.16394,8522215
14,12/21/2020,2010,2022,1855.25,1939.699951,1933.480103,20368545
15,12/22/2020,1949,1958.900024,1888.449951,1936.699951,1930.489746,12986606
16,12/23/2020,1930,1951.449951,1920.650024,1943.849976,1937.616821,8999898
17,12/24/2020,1947,1998.800049,1945.900024,1994.150024,1987.755615,9588577
18,12/28/2020,2006.699951,2018,1995.300049,2003.300049,1996.876221,7947719
19,12/29/2020,2009,2012.300049,1982.550049,1990.050049,1983.668701,8589407
20,12/30/2020,1995.25,2007.199951,1975.550049,1995.5,1989.101196,10173132
21,12/31/2020,1993.5,2011.900024,1978.599976,1985.300049,1978.93396,8667516
